431,Dianna,Petty,NULL,DiannaPetty,430,3/28/1989
633,Stacie,Hancock,NULL,StacieHancock,632,6/18/1999
773,Sonya,Daniels,NULL,SonyaDaniels,772,11/27/1998
896,Rosa,Lynn,Tyler,RosaTylerLynn,895,8/17/1995
922,Claire,Greer,Broderick,ClaireBroderickGreer,921,1/8/1995
979,Jessie,Dunn,NULL,JessieDunn,978,7/25/1955
253,Jake,Shah,NULL,JakeShah,1252,5/17/1998
255,Garrett,Vasquez,NULL,GarrettVasquez,1254,8/20/1981
409,Melinda,Nichols,NULL,MelindaNichols,1408,3/3/1963
588,Tonia,Blackwell,NULL,ToniaBlackwell,1587,11/19/1999
676,Maurice,Lester,NULL,MauriceLester,1675,6/6/1988
835,Marlon,Wise,Donte,MarlonDonteWise,1834,1/2/1986
888,Eli,Ross,NULL,EliRoss,1887,11/23/1998
903,Alexander,Pittman,NULL,AlexanderPittman,1902,4/28/1998
978,Jonathan,Hurst,Alec,JonathanAlecHurst,1977,8/28/1998
457,Janelle,Jensen,NULL,JanelleJensen,2456,8/31/1994
500,Teddy,Barrera,NULL,TeddyBarrera,2499,7/26/1992
550,Otis,NULL,Carroll,OtisCarrollNULL,2549,10/22/1994
776,Salvador,Price,Marcellus,SalvadorMarcellusPrice,2775,8/17/1991
828,Mindy,Noble,James,MindyJamesNoble,2827,11/10/1999
122,Kent,Rubio,NULL,KentRubio,3121,6/19/1992
563,Joyce,Oliver,Vincenzo,JoyceVincenzoOliver,3562,6/13/1998
766,Ramiro,Mercado,NULL,RamiroMercado,3765,1/15/1981
800,Shelby,Nelson,Deangelo,ShelbyDeangeloNelson,3799,11/16/1985
824,Clint,Yang,NULL,ClintYang,3823,5/16/1954
65,Nicole,Meyers,Rodolfo,NicoleRodolfoMeyers,4064,3/9/1986
98,Darrick,Melendez,NULL,DarrickMelendez,4097,5/24/1998
276,Melody,Leach,Lamar,MelodyLamarLeach,4275,12/30/1986
602,Monique,Garcia,NULL,MoniqueGarcia,4601,9/9/1992
32,Tamika,Wang,Burton,TamikaBurtonWang,5031,7/11/1983
557,Theodore,Hansen,NULL,TheodoreHansen,5556,12/29/1981
967,Kristian,Shah,NULL,KristianShah,5966,2/2/1995
302,Debra,Ho,NULL,DebraHo,6301,7/27/1986
464,Misti,Hoffman,Stephen,MistiStephenHoffman,6463,10/19/1961
642,Ramiro,Prince,Ron,RamiroRonPrince,6641,1/18/1994
732,Christine,Burton,NULL,ChristineBurton,6731,9/1/1995
845,Pamela,Dixon,Desmond,PamelaDesmondDixon,6844,5/4/1993
200,Gabrielle,Frazier,NULL,GabrielleFrazier,7199,9/15/1992
739,Chester,Duke,NULL,ChesterDuke,7738,3/28/1963
823,Salvatore,Kaiser,NULL,SalvatoreKaiser,7822,12/2/1999
7,Frank,Todd,Matt,FrankMattTodd,8006,11/21/1984
292,Paula,Cardenas,NULL,PaulaCardenas,8291,4/12/1985
496,Philip,English,Ron,PhilipRonEnglish,8495,7/12/1993
533,Jayson,Guerra,Ashley,JaysonAshleyGuerra,8532,1/15/1999
5,Tania,Hardin,NULL,TaniaHardin,9004,1/6/1994
77,Fred,Riggs,NULL,FredRiggs,9076,3/24/1983
149,Scot,Horn,Jameson,ScotJamesonHorn,9148,6/6/1956
197,Kyle,Sanders,Phillip,KylePhillipSanders,9196,5/9/1986
808,Alma,Meyer,Tim,AlmaTimMeyer,9807,2/14/1997
